[6,13];9;18;3.9;
[6,14];7;18;3.9;
[6,15];4;17;3.9;
[6,16];2;17;3.9;
[6,17];-2;17;3.9;
[6,18];-4;17;3.9;
[6,19];-7;18;3.9;
[6,20];-9;18;3.9;
[6,21];-12;18;3.8;
[6,22];-15;18;3.8;
[6,23];-18;18;3.8;
[6,24];-21;18;3.9;
[6,25];-24;19;4.0;
[6,26];-27;19;4.1;
[6,27];-31;19;4.4;
[6,28];-34;19;4.6;
[6,29];-38;20;5.1;
[6,30];-41;20;5.5;
[6,31];-45;20;6.2;
[6,32];-48;21;6.9;
[7,1];48;17;6.5;
[7,2];45;17;5.9;
[7,3];40;16;5.2;
[7,4];37;16;4.8;
[7,5];33;16;4.4;
[7,6];31;16;4.2;
[7,7];27;15;4.0;
[7,8];24;15;3.9;
[7,9];20;15;3.8;
[7,10];18;15;3.8;
[7,11];15;15;3.8;
[7,12];12;14;3.9;
[7,13];9;14;3.9;
[7,14];7;14;4.0;
[7,15];4;14;4.0;
[7,16];2;14;4.0;
[7,17];-2;14;4.0;
[7,18];-4;14;4.0;
[7,19];-7;14;4.0;
[7,20];-9;14;3.9;
[7,21];-12;14;3.9;
[7,22];-15;15;3.8;
[7,23];-18;15;3.8;
[7,24];-20;15;3.8;
[7,25];-24;15;3.9;
[7,26];-27;15;4.0;
[7,27];-31;16;4.2;
[7,28];-33;16;4.4;
[7,29];-37;16;4.8;
[7,30];-40;16;5.2;
[7,31];-45;17;5.9;
[7,32];-48;17;6.5;
[8,1];48;14;6.3;
[8,2];45;14;5.7;
[8,3];40;14;5.1;
[8,4];37;14;4.7;
[8,5];33;13;4.3;
[8,6];30;13;4.1;
[8,7];26;13;3.9;
[8,8];24;13;3.9;
[8,9];20;13;3.8;
[8,10];18;12;3.8;
[8,11];14;12;3.9;
[8,12];12;12;3.9;
[8,13];9;12;4.0;
[8,14];7;12;4.0;
[8,15];4;12;4.1;
[8,16];2;12;4.1;
[8,17];-2;12;4.1;
[8,18];-4;12;4.1;
[8,19];-7;12;4.0;
[8,20];-9;12;4.0;
[8,21];-12;12;3.9;
[8,22];-14;12;3.9;
[8,23];-18;12;3.8;
[8,24];-20;13;3.8;
[8,25];-24;13;3.9;
[8,26];-26;13;3.9;
[8,27];-30;13;4.1;
[8,28];-33;13;4.3;
[8,29];-37;14;4.7;
[8,30];-40;14;5.1;
[8,31];-45;14;5.7;
[8,32];-48;14;6.3;
[9,1];47;11;6.1;
[9,2];44;10;5.5;
[9,3];40;10;4.9;
[9,4];37;10;4.6;
[9,5];33;10;4.2;
[9,6];30;10;4.0;
[9,7];26;10;3.9;
[9,8];24;9;3.8;
[9,9];20;9;3.8;
[9,10];18;9;3.9;
[9,11];14;9;3.9;
[9,12];12;9;4.0;
[9,13];9;9;4.1;
[9,14];7;9;4.1;
[9,15];4;9;4.2;
[9,16];2;9;4.2;
[9,17];-2;9;4.2;
[9,18];-4;9;4.2;
[9,19];-7;9;4.1;
[9,20];-9;9;4.1;
[9,21];-12;9;4.0;
[9,22];-14;9;3.9;
[9,23];-18;9;3.9;
[9,24];-20;9;3.8;
[9,25];-24;9;3.8;
[9,26];-26;10;3.9;
[9,27];-30;10;4.0;
[9,28];-33;10;4.2;
[9,29];-37;10;4.6;
[9,30];-40;10;4.9;
[9,31];-44;10;5.5;
[9,32];-47;11;6.1;
[10,1];47;8;6.0;
[10,2];44;8;5.4;
[10,3];40;8;4.8;
[10,4];37;8;4.5;
[10,5];33;7;4.1;
[10,6];30;7;4.0;
[10,7];26;7;3.9;
[10,8];24;7;3.8;
[10,9];20;7;3.8;
[10,10];18;7;3.9;
[10,11];14;7;4.0;
[10,12];12;7;4.0;
[10,13];9;7;4.1;
[10,14];7;7;4.2;
[10,15];4;7;4.2;
[10,16];2;6;4.2;
[10,17];-2;6;4.2;
[10,18];-4;7;4.2;
[10,19];-7;7;4.2;
[10,20];-9;7;4.1;
[10,21];-12;7;4.0;
[10,22];-14;7;4.0;
[10,23];-18;7;3.9;
[10,24];-20;7;3.8;
[10,25];-24;7;3.8;
[10,26];-26;7;3.9;
[10,27];-30;7;4.0;
[10,28];-33;7;4.1;
[10,29];-37;8;4.5;
[10,30];-40;8;4.8;
[10,31];-44;8;5.4;
[10,32];-47;8;6.0;
[11,1];47;4;5.8;
[11,2];44;4;5.3;
[11,3];40;4;4.7;
[11,4];37;4;4.4;
[11,5];33;4;4.1;
[11,6];30;4;4.0;
[11,7];26;4;3.8;
[11,8];23;4;3.8;
[11,9];20;4;3.9;
[11,10];17;4;3.9;
[11,11];14;4;4.0;
[11,12];12;4;4.1;
[11,13];9;4;4.2;
[11,14];7;4;4.2;
[11,15];4;4;4.3;
[11,16];1;3;4.3;
[11,17];-1;3;4.3;
[11,18];-4;4;4.3;
[11,19];-7;4;4.2;
[11,20];-9;4;4.2;
[11,21];-12;4;4.1;
[11,22];-14;4;4.0;
[11,23];-17;4;3.9;
[11,24];-20;4;3.9;
[11,25];-23;4;3.8;
[11,26];-26;4;3.8;
[11,27];-30;4;4.0;
[11,28];-33;4;4.1;
[11,29];-37;4;4.4;
[11,30];-40;4;4.7;
[11,31];-44;4;5.3;
[11,32];-47;4;5.8;
[12,1];47;2;5.8;
[12,2];44;2;5.3;
[12,3];40;2;4.7;
[12,4];37;2;4.4;
[12,5];33;2;4.1;
[12,6];30;2;3.9;
[12,7];26;2;3.8;
[12,8];23;2;3.8;
[12,9];20;2;3.9;
[12,10];17;2;3.9;
[12,11];14;2;4.0;
[12,12];12;2;4.1;
[12,13];9;2;4.2;
[12,14];6;2;4.2;
[12,15];3;1;4.3;
[12,16];1;1;4.3;
[12,17];-1;1;4.3;
[12,18];-3;1;4.3;
[12,19];-6;2;4.2;
[12,20];-9;2;4.2;
[12,21];-12;2;4.1;
[12,22];-14;2;4.0;
[12,23];-17;2;3.9;
[12,24];-20;2;3.9;
[12,25];-23;2;3.8;
[12,26];-26;2;3.8;
[12,27];-30;2;3.9;
[12,28];-33;2;4.1;
[12,29];-37;2;4.4;
[12,30];-40;2;4.7;
[12,31];-44;2;5.3;
[12,32];-47;2;5.8;
[13,1];47;-2;5.8;
[13,2];44;-2;5.3;
[13,3];40;-2;4.7;
[13,4];37;-2;4.4;
[13,5];33;-2;4.1;
[13,6];30;-2;3.9;
[13,7];26;-2;3.8;
[13,8];23;-2;3.8;
[13,9];20;-2;3.9;
[13,10];17;-2;3.9;
